Bank,Online or In-Person,Transaction Date,Value
DS,In-Person,Thursday,75582
DSB,In-Person,Saturday,72679
DS,Online,Saturday,71357
DTB,Online,Tuesday,68959
DTB,In-Person,Saturday,66334
DS,In-Person,Wednesday,63686
DSB,Online,Saturday,61350
DS,Online,Wednesday,59104
DS,Online,Friday,58731
DS,In-Person,Friday,58599
DTB,In-Person,Thursday,57605
DTB,In-Person,Tuesday,54029
DTB,Online,Thursday,53756
DTB,In-Person,Wednesday,52819
DS,In-Person,Sunday,51301
DTB,Online,Sunday,49087
DSB,Online,Wednesday,47372
DSB,Online,Friday,45647
DSB,In-Person,Monday,43546
DS,In-Person,Monday,42806
DTB,In-Person,Friday,41861
DTB,Online,Monday,38688
DSB,In-Person,Sunday,37755
DSB,In-Person,Thursday,37567
DS,Online,Tuesday,36639
DSB,In-Person,Wednesday,36069
DTB,Online,Wednesday,35313
DS,In-Person,Saturday,34867
DS,Online,Monday,33563
DSB,Online,Thursday,33463
DS,In-Person,Tuesday,32607
DSB,Online,Tuesday,32257
DSB,Online,Monday,31692
DTB,In-Person,Sunday,29468
DSB,In-Person,Tuesday,28604
DTB,Online,Friday,27366
DS,Online,Sunday,21761
DTB,In-Person,Monday,21561
DTB,Online,Saturday,21392
DS,Online,Thursday,13337
DSB,Online,Sunday,13086
DSB,In-Person,Friday,9402
