Bank,Customer Code,Value
DSB,100010,92654
DTB,100003,84574
DS,100010,77893
DS,100006,77636
DTB,100000,77252
DS,100007,76190
DTB,100010,71396
DS,100002,69803
DTB,100008,69352
DSB,100001,67856
DS,100004,63315
DTB,100001,60675
DSB,100003,58154
DS,100000,57909
DS,100009,56581
DS,100008,56400
DSB,100005,56396
DS,100001,53063
DTB,100009,52926
DSB,100009,51749
DTB,100002,48616
DSB,100008,47121
DTB,100004,44435
DTB,100006,41909
DS,100005,39668
DSB,100004,39003
DTB,100005,37795
DSB,100006,32333
DSB,100007,29702
DTB,100007,29308
DSB,100002,27936
DSB,100000,27585
DS,100003,25482
